marker,northing,easting,gps_horizontal_offset,gps_horizontal_offset_heading,marker_height_laser
4,529301.787147417,4466218.6502331,3.43128673,1.2,12.4
5,529262.609491732,4466330.54765268,3.4000012,1.2,30.2
8,529081.608239255,4466545.69356477,3.41068912,1.2,18.3
2,529052.423790543,4466508.32945368,3.43589156,1.2,13.3
9,528801.551660264,4466389.00131144,3.3751232,1.2,11
1,528804.398685057,4466426.37776688,3.37561731,1.2,8.4
