name,easting,easting prec. (m),northing,northing prec. (m),rangefinder altitude (m),rangefinder altitude prec. (m),n1,rod + level altitude (m),prec. (m)4,n2,ruler (m)
1,4466443.788,14.40105516,528842.7847,18.02195343,5.031116667,0.266728104,37,4.627033333,0.021952681,3,
2,4466507.365,7.813980039,529043.8081,5.415255402,4.5375,0.275,37,4.97205,0.007185701,3,
8,4466568.822,17.02161876,529085.9955,7.306652623,3.34445,0.257920172,37,3.4544,0.007185701,3,3.42
5,4466343.901,5.902235107,529255.5339,9.171833133,4.7963,0.353731127,37,4.747683333,0.01495823,3,
4,4466221.046,13.52815604,529305.3719,10.22385067,4.01866,0.893172423,37,4.881033333,0.004148667,3,
9,4466387.237,18.29359093,528797.2722,11.11517736,1.8,0.334664011,37,2.54,0.014371403,3,
